State,Total House,House Dem,House Rep,House Third Party,House Vacancies,Total Senate,Senate Dem,Senate Rep,Senate Third Party,Senate Vacancies,Legislative Control,Governor Party,State Control
Alabama,105,33,72,,,35,8,26,1,,R,R,R
Alaska,40,16,23,1,,20,6,14,,,R,I,S
Arizona,60,24,36,,,30,13,17,,,R,R,R
Arkansas,100,36,64,,,35,11,24,,,R,R,R
California,80,52,28,,,40,25,12,,3,D,D,D
Colorado,65,34,31,,,35,17,18,,,S,D,S
Connecticut,151,86,63,,2,36,20,15,,1,D,D,D
Delaware,41,25,16,,,21,12,9,,,D,D,D
Florida,120,38,80,,2,40,14,25,,1,R,R,R
Georgia,180,59,120,1,,56,18,38,,,R,R,R
Hawaii,51,44,7,,,25,24,1,,,D,D,D
Idaho,70,14,56,,,35,7,28,,,R,R,R
Illinois,118,71,47,,,59,39,20,,,D,R,S
Indiana,100,30,70,,,50,10,40,,,R,R,R
Iowa,100,43,56,,1,50,26,24,,,S,R,S
Kansas,125,28,97,,,40,8,32,,,R,R,R
Kentucky,100,54,46,,,38,11,26,,1,S,D,S
Louisiana,105,43,56,2,4,39,13,26,,,R,R,R
Maine,151,78,68,4,1,35,15,20,,,S,R,S
Maryland,141,90,51,,,47,32,14,,1,D,R,S
Massachusetts,160,123,35,,2,40,34,6,,,D,R,S
Michigan,110,47,63,,,38,11,27,,,R,R,R
Minnesota,134,62,72,,,67,39,28,,,S,D,S
Mississippi,122,56,66,,,52,20,32,,,R,R,R
Missouri,163,44,117,1,1,34,9,25,,,R,D,S
Montana,100,41,59,,,50,21,29,,,R,D,S
Nebraska,,,,,,49,,,49,,Nonpartisan,R,N/A
Nevada,42,17,25,,,21,10,11,,,R,R,R
New Hampshire,400,160,238,2,,24,10,14,,,R,D,S
New Jersey,80,48,32,,,40,24,16,,,D,R,S
New Mexico,70,33,37,,,42,25,17,,,S,R,S
New York,150,106,44,,,63,31,32,,,S,D,S
North Carolina,120,45,73,1,1,50,15,34,,1,R,R,R
North Dakota,94,23,71,,,47,15,32,,,R,R,R
Ohio,99,34,65,,,33,10,23,,,R,R,R
Oklahoma,101,29,72,,,48,8,40,,,R,R,R
Oregon,60,35,25,,,30,18,12,,,D,D,D
Pennsylvania,203,83,119,,1,50,20,30,,,R,D,S
Rhode Island,75,63,11,1,,38,32,5,1,,D,D,D
South Carolina,124,46,78,,,46,18,28,,,R,R,R
South Dakota,70,12,58,,,35,8,27,,,R,R,R
Tennessee,99,26,73,,,33,5,28,,,R,R,R
Texas,150,50,97,,3,31,11,20,,,R,R,R
Utah,75,12,63,,,29,5,24,,,R,R,R
Vermont,150,85,53,12,,30,21,9,,,D,D,D
Virginia,100,32,67,1,,40,19,21,,,R,D,S
Washington,98,51,47,,,49,24,25,,,S,D,S
West Virginia,100,36,64,,,34,16,18,,,R,D,S
Wisconsin,99,36,63,,,33,14,18,1,,R,R,R
Wyoming,60,9,51,,,30,4,26,,,R,R,R
