State,Total House,House Dem,House Rep,House Third Party,House Vacancies,Total Senate,Senate Dem,Senate Rep,Senate Third Party,Senate Vacancies,Legislative Control,Governor Party,State Control
Alabama,105,40,65,,,35,12,22,1,,R,R,R
Alaska,40,18,22,,,20,10,10,,,S,R,S
Arizona,60,20,40,,,30,9,21,,,R,R,R
Arkansas,100,55,45,,,35,20,15,,,D,D,D
California,80,52,28,,,40,25,15,,,D,D,D
Colorado,65,32,33,,,35,20,15,,,S,D,S
Connecticut,151,100,51,,,36,22,14,,,D,D,D
Delaware,41,26,15,,,21,14,7,,,D,D,D
Florida,120,39,81,,,40,12,28,,,R,R,R
Georgia,180,63,115,1,1,56,20,36,,,R,R,R
Hawaii,51,43,8,,,25,24,1,,,D,D,D
Idaho,70,13,57,,,35,7,28,,,R,R,R
Illinois,118,64,54,,,59,35,24,,,D,D,D
Indiana,100,40,60,,,50,13,37,,,R,R,R
Iowa,100,40,60,,,50,26,24,,,S,R,S
Kansas,125,33,92,,,40,8,32,,,R,R,R
Kentucky,100,59,41,,,38,15,22,1,,S,D,S
Louisiana,105,49,52,4,,39,19,20,,,S,R,S
Maine,151,72,78,1,,35,14,20,1,,R,R,R
Maryland,141,98,43,,,47,35,12,,,D,D,D
Massachusetts,160,126,32,,2,40,35,4,,1,D,D,D
Michigan,110,46,62,,2,38,12,26,,,R,R,R
Minnesota,134,62,72,,,67,30,37,,,R,D,S
Mississippi,122,72,50,,,52,25,27,,,S,R,S
Missouri,163,56,106,1,,34,8,26,,,R,D,S
Montana,100,32,68,,,50,22,28,,,R,D,S
Nebraska,,,,,,49,,,49,,Nonpartisan,R,N/A
Nevada,42,26,16,,,21,11,10,,,D,R,S
New Hampshire,400,104,294,,2,24,5,19,,,R,D,S
New Jersey,80,48,30,,2,40,24,16,,,D,R,S
New Mexico,70,36,33,1,,42,27,15,,,D,R,S
New York,150,99,51,,,62,30,32,,,S,D,S
North Carolina,120,52,67,1,,50,19,31,,,R,D,S
North Dakota,94,25,69,,,47,12,35,,,R,R,R
Ohio,99,40,59,,,33,10,23,,,R,R,R
Oklahoma,101,31,69,,1,48,15,31,,2,R,R,R
Oregon,60,30,30,,,30,16,14,,,S,D,S
Pennsylvania,203,91,112,,,50,20,30,,,R,R,R
Rhode Island,75,65,10,,,38,29,8,1,,D,I,S
South Carolina,124,48,75,,1,46,19,27,,,R,R,R
South Dakota,70,19,50,1,,35,5,30,,,R,R,R
Tennessee,99,34,64,1,,33,13,20,,,R,R,R
Texas,150,49,101,,,31,12,19,,,R,R,R
Utah,75,17,58,,,29,7,22,,,R,R,R
Vermont,150,94,48,8,,30,22,8,,,D,D,D
Virginia,100,32,67,1,,40,20,20,,,S,R,S
Washington,98,56,42,,,49,27,22,,,D,D,D
West Virginia,100,65,35,,,34,28,6,,,D,D,D
Wisconsin,99,39,59,1,,33,16,17,,,R,R,R
Wyoming,60,10,50,,,30,4,26,,,R,R,R
