State,Total House,House Dem,House Rep,House Third Party,House Vacancies,Total Senate,Senate Dem,Senate Rep,Senate Third Party,Senate Vacancies,Legislative Control,Governor Party,State Control
Alabama,105,37,63,1,4,35,11,23,1,,R,R,R
Alaska,40,13,26,,1,20,7,13,,,R,R,R
Arizona,60,24,36,,,30,12,17,,1,R,R,R
Arkansas,100,48,51,1,,35,13,22,,,R,D,S
California,80,55,25,,,40,28,11,,1,D,D,D
Colorado,65,37,28,,,35,18,17,,,D,D,D
Connecticut,151,98,53,,,36,22,14,,,D,D,D
Delaware,41,27,14,,,21,13,8,,,D,D,D
Florida,120,45,74,,1,40,14,26,,,R,R,R
Georgia,180,60,119,1,,56,18,37,,1,R,R,R
Hawaii,51,44,7,,,25,24,1,,,D,D,D
Idaho,70,13,57,,,35,7,28,,,R,R,R
Illinois,118,71,47,,,59,40,19,,,D,D,D
Indiana,100,31,69,,,50,13,37,,,R,R,R
Iowa,100,47,53,,,50,26,24,,,S,R,S
Kansas,125,33,92,,,40,8,32,,,R,R,R
Kentucky,100,54,46,,,38,14,23,1,,S,D,S
Louisiana,105,44,59,2,,39,13,26,,,R,R,R
Maine,151,89,58,4,,35,19,15,1,,D,R,S
Maryland,141,98,43,,,47,36,11,,,D,D,D
Massachusetts,160,129,29,2,,40,35,4,,1,D,D,D
Michigan,110,51,59,,,38,12,26,,,R,R,R
Minnesota,134,73,61,,,67,39,28,,,D,D,D
Mississippi,122,57,65,,,52,20,32,,,R,R,R
Missouri,163,52,108,,3,34,9,24,,1,R,D,S
Montana,100,37,61,,2,50,21,29,,,R,D,S
Nebraska,,,,,,49,,,49,,Nonpartisan,R,N/A
Nevada,42,27,15,,,21,11,10,,,D,R,S
New Hampshire,400,216,178,1,5,24,11,13,,,S,D,S
New Jersey,80,48,32,,,40,24,16,,,D,R,S
New Mexico,70,37,33,,,42,25,17,,,D,R,S
New York,150,100,40,1,9,63,32,29,,2,D,D,D
North Carolina,120,43,77,,,50,17,33,,,R,R,R
North Dakota,94,23,71,,,47,14,33,,,R,R,R
Ohio,99,39,60,,,33,10,23,,,R,R,R
Oklahoma,101,29,72,,,48,12,36,,,R,R,R
Oregon,60,34,26,,,30,16,14,,,D,D,D
Pennsylvania,203,92,110,,1,50,24,26,,,R,R,R
Rhode Island,75,69,6,,,38,32,5,1,,D,D,D
South Carolina,124,46,78,,,46,18,28,,,R,R,R
South Dakota,70,17,53,,,35,7,28,,,R,R,R
Tennessee,99,27,71,1,,33,7,26,,,R,R,R
Texas,150,55,95,,,31,12,19,,,R,R,R
Utah,75,14,61,,,29,5,24,,,R,R,R
Vermont,150,93,47,10,,30,19,7,3,1,D,D,D
Virginia,100,33,67,,,40,20,20,,,S,D,S
Washington,98,55,43,,,49,25,24,,,D,D,D
West Virginia,100,53,47,,,34,24,10,,,D,D,D
Wisconsin,99,39,60,,,33,15,18,,,R,R,R
Wyoming,60,8,52,,,30,4,26,,,R,R,R
